,home_elo,away_elo,spread,h_drives,h_d_explosiveness,h_d_successrate,h_d_stuffrate,h_d_totalPPA,h_o_explosiveness,h_o_successrate,h_o_stuffrate,h_o_totalPPA,home_team_cover_spread,home_conference_ACC,home_conference_American Athletic,home_conference_Big 12,home_conference_Big Ten,home_conference_Conference USA,home_conference_FBS Independents,home_conference_Mid-American,home_conference_Mountain West,home_conference_Pac-12,home_conference_SEC,home_conference_Sun Belt,away_conference_ACC,away_conference_American Athletic,away_conference_Big 12,away_conference_Big Ten,away_conference_Conference USA,away_conference_FBS Independents,away_conference_Mid-American,away_conference_Mountain West,away_conference_Pac-12,away_conference_SEC,away_conference_Sun Belt,neutral_site_False,neutral_site_True,week
87,0.559139785,0.373804268,0.337209302,0.272727273,0.363694949,0.834935071,0.130952381,0.901985913,0.299591226,0.773804456,0.044444444,0.754718555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
88,0.571428571,0.34142752,0.331395349,0.181818182,0.262507239,0.465516269,0.493589744,0.402070226,0.401569141,0.639289446,0.424242424,0.487527221,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
89,0.687403994,0.544518028,0.476744186,0.636363636,0.575677929,0.317219548,0.555555556,0.484731919,0.220096132,0.551176793,0.304347826,0.366069241,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
90,0.79109063,0.231052244,0,0.545454545,0.292190846,0.208932499,0.47311828,0.256133881,0.400554717,0.861650993,0.125,0.703152859,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
91,0.401689708,0.415011038,0.575581395,0.545454545,0.658017514,0,1,0.305952699,0.455913324,0.293697979,0.702702703,0.254822304,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
92,0.305683564,0.195732156,0.406976744,0.454545455,0.592972362,0.310399717,0.289473684,0.475767474,0.347298775,0.428693061,0.444444444,0.318426933,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
93,0.612135177,0.600441501,0.581395349,0.454545455,0.379795255,0.388861868,0.267361111,0.431258309,0.265053895,0.427806645,0.387096774,0.376626442,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
94,0.539170507,0.529065489,0.598837209,0.272727273,0.47771721,0.533938608,0.37745098,0.662483585,0.289682505,0.573639847,0.214285714,0.464139811,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
95,0.375576037,0.521707138,0.755813953,0.454545455,0.154188687,0.744505946,0.333333333,0.673790368,0.357801925,0.356006928,0.6,0.112460749,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
96,0.474654378,0.463576159,0.639534884,0.636363636,0.642773579,0.471347718,0.611111111,0.674493162,0.226314087,0.689207344,0.1,0.433476924,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
97,0.401689708,0.604120677,0.802325581,0.090909091,0.360364357,0.519632119,0.223577236,0.516193648,0.172670711,0.598813496,0.432432432,0.315257076,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
98,0.486175115,0.880058867,0.906976744,0.272727273,0.174984695,1,0.20952381,0.859941063,0.447558323,0.288022655,0.466666667,0.054741097,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
99,0.498463902,0.557027226,0.593023256,0.363636364,0.192194874,0.503179656,0.27998366,0.452958007,0.389616116,0.455760479,0.44546851,0.300550673,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3
100,0.824116743,0.14790287,0.058139535,0.454545455,0.17646091,0.101167315,0.5,0.129620955,0.22640991,0.794436115,0.292682927,0.579638061,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
101,0.543778802,0.689477557,0.73255814,0.545454545,0.455981182,0.63229572,0.27672956,0.853517156,0.14986073,0.598447529,0.136363636,0.354037514,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
102,0.610599078,0.312729948,0.261627907,0.454545455,0.225469047,0.295665041,0.052380952,0.301258146,0.458853351,0.613574165,0.057142857,0.572078313,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
